AREA,PERIMETER,ZI_CITY_,ZI_CITY_ID,PPPTTYPE,PPPTTYPETX,PPPTNAME,PPPTFLAG,LONG,LAT,Status,towns
0.000000,0.000000,"367","367","1",Populated places (no subcategories),Grants Siding,"1",27.948880,-19.526140,,
0.000000,0.000000,"368","368","1",Populated places (no subcategories),Guinea Fowl,"1",29.931720,-19.528620,,
0.000000,0.000000,"369","369","1",Populated places (no subcategories),Pelendaba,"1",26.925580,-19.535320,,
0.000000,0.000000,"370","370","1",Populated places (no subcategories),Woodend,"1",29.337490,-19.553100,,
0.000000,0.000000,"371","371","1",Populated places (no subcategories),Ningombeneshango,"1",27.162800,-19.557290,,
0.000000,0.000000,"373","373","1",Populated places (no subcategories),Inyati,"1",28.854110,-19.682550,,
0.000000,0.000000,"374","374","1",Populated places (no subcategories),Somabula,"1",29.667320,-19.697970,,
0.000000,0.000000,"375","375","1",Populated places (no subcategories),Butabubili,"1",27.221880,-19.773720,,
0.000000,0.000000,"376","376","1",Populated places (no subcategories),Shangani,"1",29.367450,-19.780530,,
0.000000,0.000000,"377","377","1",Populated places (no subcategories),Tsholotsho,"1",27.768750,-19.781700,,
0.000000,0.000000,"378","378","1",Populated places (no subcategories),Insiza,"1",29.191470,-19.781800,,
0.000000,0.000000,"381","381","1",Populated places (no subcategories),Nemani School,"1",27.539720,-19.807910,,
0.000000,0.000000,"382","382","1",Populated places (no subcategories),Nyamandhlovu,"1",28.272690,-19.868770,,
0.000000,0.000000,"383","383","1",Populated places (no subcategories),Lochard,"1",29.022870,-19.918820,,
0.000000,0.000000,"384","384","1",Populated places (no subcategories),Chitungwiza,"1",31.070000,-17.850000,Semi Major,TOWN
0.000000,0.000000,"0","0","0",,,"0",0.000000,0.000000,,
